ClientID,ClientName,ClientType,Region,Country,RelationshipManager,KYCStatus,KYCSubmissionDate,KYCLastUpdate,ExpiryDate,SourceSystem,RiskRating,ReviewFrequency,AssetsUnderManagement,DaysToExpiry
C100001,Summit Corp 0001,Corporate,North America,United States,RM_31,Pending Review,2022-06-29,2022-10-23,2023-12-09,Salesforce,Medium,Annual,45102118.78,-682
C100002,Pioneer Partners 0002,Corporate,EMEA,Germany,RM_28,Valid,2022-06-26,2022-10-11,2023-12-08,Salesforce,High,Annual,46686326.58,-683
C100003,Horizon Corp 0003,Corporate,Africa,Nigeria,RM_39,Missing,2023-03-13,2023-08-10,2024-08-27,Salesforce,Medium,Annual,36232815.54,-420
C100004,Priya Patel,Individual,Oceania,Australia,RM_25,Valid,2022-08-10,2022-11-22,2023-10-19,Batch Upload,Low,Semi-Annual,4153.46,-733
C100005,Atlas Enterprises 0005,Corporate,North America,Mexico,RM_41,Valid,2022-06-28,2022-09-09,2023-08-12,Onboarding Portal,High,Annual,36886392.95,-801
C100006,Maria Wang,Individual,North America,Mexico,RM_35,Missing,2024-06-14,2024-07-09,2025-01-30,Onboarding Portal,Low,Annual,234798.92,-264
C100007,Summit Group 0007,Corporate,LATAM,Brazil,RM_16,Valid,2024-06-10,2024-12-13,2026-11-30,Batch Upload,High,Annual,15825023.24,405
C100008,Riverside Enterprises 0008,Corporate,Oceania,Australia,RM_09,Valid,2023-02-03,2023-07-21,2025-03-06,Salesforce,High,Annual,48627185.4,-229
C100009,Summit Ltd 0009,Corporate,North America,Mexico,RM_48,Expired,2022-04-23,2022-07-26,2021-10-19,Salesforce,High,Annual,39483429.85,-1463
C100010,John Johnson,Individual,APAC,India,RM_47,Pending Review,2022-11-11,2023-05-30,2024-03-08,Onboarding Portal,Medium,Quarterly,204400.21,-592
C100011,Greenfield Ltd 0011,Corporate,North America,Mexico,RM_20,Valid,2023-11-29,2023-12-10,2024-03-16,Salesforce,Medium,Annual,49579214.99,-584
C100012,Zenith Investments 0012,Corporate,EMEA,Netherlands,RM_33,Valid,2023-10-26,2023-11-09,2025-09-17,Manual Entry,Low,Annual,12337215.54,-34
C100013,Pioneer Partners 0013,Corporate,APAC,India,RM_03,Valid,2023-02-28,2023-08-22,2023-10-26,Manual Entry,High,Annual,35353822.33,-726
C100014,Acme Group 0014,Corporate,Oceania,New Zealand,RM_04,Valid,2024-08-22,2024-09-10,2024-11-19,Salesforce,High,Semi-Annual,17355367.29,-336
C100015,Riverside Enterprises 0015,Corporate,Africa,South Africa,RM_18,Valid,2022-09-28,2023-04-13,2024-07-12,Onboarding Portal,Low,Semi-Annual,10804695.96,-466
C100016,Summit Investments 0016,Corporate,LATAM,Argentina,RM_43,Valid,2023-10-14,2024-02-25,2025-07-09,Salesforce,Low,Semi-Annual,17377437.79,-104
C100017,Pioneer Holdings 0017,Corporate,North America,Canada,RM_20,Valid,2023-05-07,2023-05-18,2023-07-24,Salesforce,High,Annual,32231226.45,-820
C100018,Acme Ltd 0018,Corporate,Oceania,Australia,RM_35,Pending Review,2023-05-09,2023-11-19,2025-05-07,Batch Upload,Low,Quarterly,2581174.09,-167
C100019,Mohammed Kumar,Individual,LATAM,Chile,RM_45,Valid,2022-08-28,2022-10-14,2023-05-12,Manual Entry,Low,Quarterly,82206.29,-893
C100020,Riverside Holdings 0020,Corporate,APAC,India,RM_33,Valid,2023-03-31,2023-04-23,2023-12-02,Onboarding Portal,High,Semi-Annual,15450549.94,-689
C100021,Summit Holdings 0021,Corporate,Africa,Kenya,RM_48,Valid,2023-03-20,2023-08-19,2023-12-19,Onboarding Portal,Medium,Quarterly,19482724.88,-672
C100022,Atlas Ltd 0022,Corporate,Oceania,New Zealand,RM_50,Missing,2022-08-06,2022-08-07,2023-06-18,Onboarding Portal,Medium,Annual,19668146.5,-856
C100023,Summit Enterprises 0023,Corporate,APAC,Singapore,RM_25,Missing,2024-04-06,2024-07-10,2024-12-21,Manual Entry,Medium,Semi-Annual,15144100.71,-304
C100024,Greenfield Partners 0024,Corporate,APAC,Japan,RM_45,Valid,2023-05-12,2023-08-24,2024-10-25,Manual Entry,Critical,Quarterly,23503433.92,-361
C100025,Pioneer LLC 0025,Corporate,Oceania,New Zealand,RM_30,Valid,2023-09-09,2024-03-13,2026-02-10,Salesforce,Medium,Semi-Annual,6591345.11,112
C100026,Horizon Group 0026,Corporate,LATAM,Brazil,RM_46,Valid,2022-02-08,2022-05-14,2022-06-18,Onboarding Portal,Medium,Annual,41222387.42,-1221
C100027,Horizon LLC 0027,Corporate,North America,Mexico,RM_12,Valid,2024-04-25,2024-05-04,2025-08-13,Manual Entry,High,Annual,24097021.54,-69
C100028,Zenith Holdings 0028,Corporate,LATAM,Argentina,RM_27,Valid,2022-11-06,2022-11-17,2024-07-22,Onboarding Portal,Medium,Annual,35479220.68,-456
C100029,Pioneer Enterprises 0029,Corporate,North America,United States,RM_06,Valid,2024-01-18,2024-03-03,2025-02-07,Onboarding Portal,Medium,Semi-Annual,40872444.44,-256
C100030,Riverside Holdings 0030,Corporate,Africa,Kenya,RM_02,Expired,2023-10-13,2024-03-31,2021-12-12,Onboarding Portal,Low,Annual,19420877.76,-1409
C100031,Acme Ltd 0031,Corporate,EMEA,United Kingdom,RM_36,Valid,2022-04-25,2022-07-18,2022-12-08,Onboarding Portal,Medium,Semi-Annual,48916338.11,-1048
C100032,Mohammed Wang,Individual,North America,Canada,RM_22,Missing,2022-12-31,2023-02-25,2024-04-14,Manual Entry,Medium,Quarterly,33340.88,-555
C100033,Zenith Corp 0033,Corporate,Africa,Egypt,RM_47,Pending Review,2023-10-23,2023-12-30,2024-08-27,Onboarding Portal,High,Annual,36095847.57,-420
C100034,Summit Group 0034,Corporate,North America,United States,RM_30,Valid,2023-10-17,2024-01-19,2024-07-04,Manual Entry,Low,Annual,13493874.5,-474
C100035,Summit LLC 0035,Corporate,Africa,Kenya,RM_42,Expired,2022-03-16,2022-08-17,2020-08-04,Manual Entry,Low,Annual,11817468.74,-1904
C100036,Horizon LLC 0036,Corporate,Oceania,Australia,RM_26,Valid,2022-08-31,2023-01-02,2024-01-03,Manual Entry,High,Semi-Annual,49109566.24,-657
C100037,Riverside LLC 0037,Corporate,EMEA,UAE,RM_34,Valid,2023-07-15,2023-11-28,2025-10-23,Salesforce,Critical,Annual,35017744.41,2
C100038,Priya Garcia,Individual,Oceania,New Zealand,RM_20,Valid,2022-10-03,2023-01-30,2024-04-23,Onboarding Portal,Low,Annual,47179.06,-546
C100039,Greenfield Investments 0039,Corporate,North America,United States,RM_15,Valid,2023-06-15,2023-12-03,2024-06-23,Onboarding Portal,Medium,Annual,46796062.57,-485
C100040,John Garcia,Individual,Oceania,New Zealand,RM_20,Valid,2024-09-26,2025-03-17,2025-07-23,Salesforce,Low,Annual,112098.96,-90
C100041,Priya Garcia,Individual,Africa,Egypt,RM_29,Missing,2024-02-13,2024-07-29,2025-10-09,Onboarding Portal,Low,Annual,160423.05,-12
C100042,Riverside Corp 0042,Corporate,APAC,Singapore,RM_07,Valid,2022-09-15,2023-01-31,2024-06-22,Onboarding Portal,Low,Annual,19652621.03,-486
C100043,Greenfield Enterprises 0043,Corporate,Oceania,Australia,RM_42,Valid,2024-08-05,2024-08-07,2026-05-04,Batch Upload,Critical,Annual,49562193.27,195
C100044,John Johnson,Individual,APAC,China,RM_12,Valid,2023-11-09,2024-04-06,2024-09-19,Salesforce,Low,Annual,239649.59,-397
C100045,Horizon Corp 0045,Corporate,North America,Mexico,RM_48,Valid,2023-09-20,2024-03-12,2025-01-30,Salesforce,Low,Annual,6268566.06,-264
C100046,Pioneer Partners 0046,Corporate,Oceania,Australia,RM_03,Valid,2022-07-08,2022-12-02,2023-02-20,Manual Entry,Low,Annual,15331932.23,-974
C100047,Horizon Holdings 0047,Corporate,Africa,Egypt,RM_47,Expired,2022-03-12,2022-04-08,2020-11-08,Batch Upload,Medium,Annual,39052628.18,-1808
C100048,Alice Patel,Individual,Oceania,Australia,RM_05,Expired,2022-01-18,2022-06-01,2020-01-02,Manual Entry,Medium,Annual,191643.51,-2119
C100049,Atlas Holdings 0049,Corporate,LATAM,Brazil,RM_30,Valid,2023-08-21,2023-12-23,2024-08-12,Onboarding Portal,Medium,Quarterly,47617619.94,-435
C100050,Chen Kumar,Individual,EMEA,Germany,RM_46,Valid,2022-08-01,2022-11-20,2024-04-17,Salesforce,Low,Annual,165436.47,-552
C100051,Priya Singh,Individual,LATAM,Argentina,RM_18,Valid,2022-09-09,2023-03-15,2024-09-16,Onboarding Portal,Low,Annual,171162.6,-400
C100052,Summit Holdings 0052,Corporate,APAC,Australia,RM_13,Valid,2024-04-18,2024-09-06,2025-11-10,Batch Upload,High,Annual,46355367.08,20
C100053,Zenith Enterprises 0053,Corporate,Africa,South Africa,RM_21,Valid,2023-05-06,2023-08-30,2024-09-23,Onboarding Portal,Medium,Annual,32784488.1,-393
C100054,Greenfield Group 0054,Corporate,Africa,Kenya,RM_30,Valid,2022-08-03,2022-09-15,2023-04-16,Salesforce,High,Annual,46882557.9,-919
C100055,Horizon Corp 0055,Corporate,APAC,Australia,RM_16,Valid,2023-06-08,2023-08-07,2025-04-28,Manual Entry,Medium,Annual,19051785.33,-176
C100056,Priya Garcia,Individual,APAC,Singapore,RM_48,Valid,2022-12-11,2023-01-07,2024-04-22,Onboarding Portal,Medium,Annual,60223.43,-547
C100057,Lee Johnson,Individual,APAC,China,RM_18,Missing,2024-06-24,2024-10-18,2025-05-25,Batch Upload,Low,Annual,10672.51,-149
C100058,Acme Holdings 0058,Corporate,Africa,South Africa,RM_18,Missing,2022-10-29,2023-03-02,2023-08-19,Batch Upload,Medium,Annual,43708611.3,-794
C100059,Summit Ltd 0059,Corporate,Africa,Nigeria,RM_27,Valid,2024-01-15,2024-07-28,2025-09-18,Salesforce,High,Annual,7440112.38,-33
C100060,Alice Johnson,Individual,APAC,Australia,RM_18,Expired,2024-02-24,2024-07-12,2022-09-15,Manual Entry,Low,Annual,96148.84,-1132
C100061,Riverside Enterprises 0061,Corporate,Oceania,New Zealand,RM_18,Valid,2023-02-01,2023-02-11,2024-11-19,Salesforce,Low,Semi-Annual,5818183.86,-336
C100062,Acme Group 0062,Corporate,LATAM,Colombia,RM_10,Valid,2022-01-04,2022-05-02,2023-07-09,Manual Entry,Medium,Quarterly,30952682.33,-835
C100063,Summit Corp 0063,Corporate,LATAM,Colombia,RM_44,Valid,2022-01-19,2022-08-02,2023-01-28,Onboarding Portal,Medium,Semi-Annual,39580789.15,-997
C100064,Zenith Enterprises 0064,Corporate,Africa,Egypt,RM_13,Pending Review,2024-07-18,2024-09-20,2025-04-29,Batch Upload,Medium,Quarterly,19376658.52,-175
C100065,Priya Wang,Individual,LATAM,Argentina,RM_40,Valid,2023-06-23,2023-10-02,2024-07-03,Onboarding Portal,Medium,Quarterly,54913.81,-475
